id,content,options,answer,chapter,topic,skills,level,source,explaine,suggest
PHY8_015,Hiện tượng nào sau đây do áp suất khí quyển gây ra?,A. Quả bóng nảy lên; B. Hút sữa bằng ống hút; C. Vật rơi từ trên cao; D. Nước chảy về chỗ trũng,B,Chương 3,Bài 16: Áp suất khí quyển,Áp lực & Áp suất,Thông hiểu,SGK-Tr71,"Khi hút, áp suất trong ống giảm, áp suất khí quyển bên ngoài đẩy sữa lên.","Đọc mục ""Sự tồn tại của áp suất khí quyển"" tại Bài 17 SGK."
PHY8_016,Càng lên cao áp suất khí quyển sẽ?,A. Tăng; B. Giảm; C. Không đổi; D. Tăng rồi giảm,B,Chương 3,Bài 16: Áp suất khí quyển,Áp lực & Áp suất,Nhận biết,SGK-Tr72,Không khí càng lên cao càng loãng nên áp suất giảm dần.,"Ghi nhớ: Càng lên cao không khí càng loãng, áp suất càng giảm."
PHY8_017,Lực đẩy Archimedes tác dụng lên vật nhúng trong chất lỏng có chiều?,A. Từ trên xuống; B. Từ dưới lên trên; C. Theo mọi hướng; D. Nằm ngang,B,Chương 3,Bài 17: Lực đẩy Archimedes,Lực đẩy Archimedes,Nhận biết,SGK-Tr73,Lực đẩy này luôn hướng thẳng đứng từ dưới lên trên.,Luôn vẽ mũi tên hướng lên khi biểu diễn lực FA​ trên sơ đồ vật thể.
PHY8_018,Công thức tính lực đẩy Archimedes là?,A. FA​=d.V; B. FA​=D.V; C. FA​=p.S; D. FA​=m.g,A,Chương 3,Bài 17: Lực đẩy Archimedes,Lực đẩy Archimedes,Nhận biết,SGK-Tr74,"d là trọng lượng riêng chất lỏng, V là thể tích phần vật chìm.",Tránh nhầm d là trọng lượng riêng của vật. Nó là của chất lỏng nhúng vào.
PHY8_019,Một vật nổi lên mặt chất lỏng khi nào?,A. FA​<P; B. FA​>P; C. FA​=P; D. dvật​>dlỏng​,B,Chương 3,Bài 17: Lực đẩy Archimedes,Lực đẩy Archimedes,Thông hiểu,SGK-Tr75,"Khi lực đẩy Archimedes lớn hơn trọng lượng vật, vật sẽ chuyển động lên trên.",So sánh FA​ và P hoặc so sánh dlỏng​ và dvật​ để biết trạng thái của vật.
PHY8_020,Đại lượng V trong công thức FA​=d.V là?,A. Thể tích toàn bộ vật; B. Thể tích chất lỏng; C. Thể tích phần vật chìm trong chất lỏng; D. Thể tích bình chứa,C,Chương 3,Bài 17: Lực đẩy Archimedes,Lực đẩy Archimedes,Thông hiểu,SGK-Tr74,Chỉ phần thể tích vật chiếm chỗ trong chất lỏng mới tạo ra lực đẩy.,"Nếu vật chỉ chìm 1/2, AI nhắc bạn chỉ dùng V/2 để tính lực đẩy."
PHY8_021,Tại sao tàu hỏa phải chạy trên các thanh ray đặt trên các thanh tà vẹt?,"A. Để giảm ma sát; B. Để tăng diện tích tiếp xúc, giảm áp suất lên đất; C. Để tàu chạy thẳng; D. Để tăng áp lực",B,Chương 3,Bài 15: Áp suất bề mặt,Áp lực & Áp suất,Vận dụng,SBT-Tr44,"Thanh tà vẹt giúp phân tán áp lực lên diện tích rộng, tránh làm lún đường ray.","Xem lại bài ""Cách làm tăng, giảm áp suất"" tại Bài 15."
PHY8_022,Một thỏi sắt nhúng vào nước và nhúng vào dầu. Ở đâu lực đẩy Archimedes lớn hơn? (dn​>dd​),A. Trong dầu; B. Trong nước; C. Bằng nhau; D. Không xác định được,B,Chương 3,Bài 17: Lực đẩy Archimedes,Lực đẩy Archimedes,Thông hiểu,SBT-Tr48,FA​=d.V. Vì dnước​>dda^ˋu​ nên lực đẩy trong nước lớn hơn.,Ghi nhớ bảng trọng lượng riêng của một số chất lỏng phổ biến tại trang 74.
PHY8_023,"Tính áp suất của một người nặng 50kg đứng trên sàn nhà, diện tích 2 bàn chân là 200cm2 (lấy g=10)?",A. 25000 Pa; B. 2500 Pa; C. 250 Pa; D. 5000 Pa,A,Chương 3,Bài 15: Áp suất bề mặt,Áp lực & Áp suất,Vận dụng,Tự biên,"F=500N;S=0,02m2⇒p=500/0,02=25000Pa.",Lỗi hay gặp: Quên đổi cm2 sang m2 (1m2=10000cm2).
PHY8_024,"Khi nhúng vật sâu hơn vào trong chất lỏng, lực đẩy Archimedes sẽ?",A. Tăng lên; B. Giảm đi; C. Không đổi; D. Tùy trọng lượng vật,C,Chương 3,Bài 17: Lực đẩy Archimedes,Lực đẩy Archimedes,Thông hiểu,SBT-Tr49,"Khi đã chìm hoàn toàn, Vchıˋm​ không đổi nên FA​ không đổi.","Phân biệt: Áp suất p tăng theo độ sâu, nhưng lực đẩy FA​ không đổi."
PHY8_025,Tỉ số khối lượng của một vật và thể tích của nó gọi là?,A. Trọng lượng riêng; B. Khối lượng riêng; C. Áp suất; D. Lực đẩy,B,Chương 3,Bài 13: Khối lượng riêng,Khối lượng riêng,Nhận biết,SGK-Tr56,Đây là định nghĩa toán học của khối lượng riêng (m/V).,Ôn lại định nghĩa bài 13.
PHY8_026,Đơn vị của áp lực là?,A. Pascal (Pa); B. Newton (N); C. N/m2; D. Kilogam (kg),B,Chương 3,Bài 15: Áp suất bề mặt,Áp lực & Áp suất,Nhận biết,SGK-Tr64,"Áp lực là một loại lực, nên đơn vị là Newton.",Đừng nhầm đơn vị của áp lực (N) với áp suất (Pa).
PHY8_027,"Tại sao khi xây nhà cao tầng, người ta phải làm móng bè hoặc móng cọc rất rộng?",A. Để tăng áp suất; B. Để giảm diện tích; C. Để giảm áp suất tác dụng lên nền đất; D. Để tốn ít vật liệu,C,Chương 3,Bài 15: Áp suất bề mặt,Áp lực & Áp suất,Vận dụng,SBT-Tr45,"Tăng diện tích đáy móng để giảm áp suất, tránh gây lún nứt công trình.",Liên hệ thực tế xây dựng để hiểu mục đích của việc phân tán lực.
PHY8_028,"Một quả cầu sắt có thể tích 0,001m3 nhúng trong nước. Lực đẩy Archimedes là bao nhiêu? (dn​=10000N/m3)",A. 10 N; B. 100 N; C. 1 N; D. 1000 N,A,Chương 3,Bài 17: Lực đẩy Archimedes,Lực đẩy Archimedes,Vận dụng,SBT-Tr49,"FA​=10000×0,001=10N.",Kiểm tra kỹ số chữ số 0 sau dấu phẩy khi thực hiện phép tính.
PHY8_029,Áp suất khí quyển tại mặt nước biển khoảng?,A. 101300 Pa; B. 760 Pa; C. 1000 Pa; D. 10000 Pa,A,Chương 3,Bài 16: Áp suất khí quyển,Áp lực & Áp suất,Nhận biết,SGK-Tr72,Giá trị trung bình của áp suất khí quyển ở mực nước biển.,Ghi nhớ con số này để làm các bài toán so sánh thực tế.
PHY8_030,Tại sao quả bóng bay bơm khí hydrogen lại bay lên được?,A. Do khí hydrogen nhẹ hơn không khí; B. Do lực đẩy Archimedes của không khí lớn hơn trọng lượng quả bóng; C. Do gió thổi; D. Cả A và B,D,Chương 3,Bài 17: Lực đẩy Archimedes,Lực đẩy Archimedes,Vận dụng cao,Tự biên,"Khí nhẹ tạo ra P nhỏ, trong khi FA​ của không khí lớn giúp bóng nổi lên.",Xem lại điều kiện vật nổi trong môi trường chất khí (tương tự chất lỏng).
PHY8_031,"Khi lặn xuống sâu, ta thấy tai bị đau. Điều này do?",A. Áp suất chất lỏng tác dụng lên màng nhĩ; B. Nước vào tai; C. Do nhiệt độ thấp; D. Do áp suất khí quyển,A,Chương 3,Bài 16: Áp suất chất lỏng,Áp lực & Áp suất,Thông hiểu,SGK-Tr69,Nước tác dụng áp suất lớn lên màng nhĩ khi ở sâu.,Liên hệ thực tế khi đi máy bay hoặc lặn biển để hiểu về áp suất.
PHY8_032,Công thức tính áp suất chất lỏng là?,A. p=d.h; B. p=D.h; C. p=m.g; D. p=F/S,A,Chương 3,Bài 16: Áp suất chất lỏng,Áp lực & Áp suất,Nhận biết,SGK-Tr68,"d là trọng lượng riêng, h là độ sâu tính từ mặt thoáng.",Cần phân biệt h (độ sâu) với chiều cao của vật.
PHY8_033,"Một vật có khối lượng riêng 800kg/m3, thả vào nước (1000kg/m3). Vật sẽ?",A. Chìm hoàn toàn; B. Lơ lửng; C. Nổi một phần; D. Chìm xuống đáy,C,Chương 3,Bài 17: Lực đẩy Archimedes,Lực đẩy Archimedes,Vận dụng,SBT-Tr50,Vì Dvật​<Dnước​ nên vật sẽ nổi trên mặt nước.,Chỉ cần so sánh KLR của vật và chất lỏng để dự đoán trạng thái chìm/nổi.
PHY8_034,"Để đo thể tích vật rắn không thấm nước và có hình dạng bất kì, ta dùng?",A. Thước dây; B. Bình chia độ; C. Bình tràn; D. B hoặc C đều được,D,Chương 3,Bài 14: Thực hành KLR,Khối lượng riêng,Nhận biết,SGK-Tr59,"Bình chia độ dùng cho vật nhỏ, bình tràn dùng khi vật lớn hơn bình chia độ.",Tùy kích thước vật mà chọn dụng cụ phù hợp (vật lớn dùng bình tràn).
PHY8_035,"Khi uống sữa bằng ống hút, ta hút không khí trong ống ra để?","A. Áp suất trong ống giảm, áp suất khí quyển đẩy sữa lên; B. Sữa tự chảy vào; C. Sữa đặc hơn; D. Để tập thở",A,Chương 3,Bài 16: Áp suất khí quyển,Áp lực & Áp suất,Vận dụng,SGK-Tr71,Tạo sự chênh lệch áp suất để khí quyển làm việc đẩy sữa vào miệng.,"Thử giải thích hiện tượng này theo cơ chế ""chênh lệch áp suất""."
PHY8_036,Tại sao bình chứa chất lỏng có đáy càng sâu thì thành bình ở gần đáy phải làm càng dày?,A. Để chịu được áp suất chất lỏng lớn; B. Để chứa được nhiều nước hơn; C. Để giữ nhiệt tốt hơn; D. Để bình đẹp hơn,A,Chương 3,Bài 16: Áp suất chất lỏng,Áp lực & Áp suất,Thông hiểu,SBT-Tr46,"Áp suất chất lỏng tăng theo độ sâu (p=d.h), nên đáy bình chịu lực ép lớn nhất.",Ghi nhớ: Càng xuống sâu áp suất càng lớn. Liên hệ với thiết kế của các đập thủy điện.
PHY8_037,Đơn vị của lực đẩy Archimedes là?,A. Pascal (Pa); B. Newton (N); C. kg/m3; D. Joule (J),B,Chương 3,Bài 17: Lực đẩy Archimedes,Lực đẩy Archimedes,Nhận biết,SGK-Tr73,"Lực đẩy Archimedes là một loại lực, nên đơn vị đo luôn là Newton (N).",Phân biệt đơn vị Lực (N) với đơn vị Áp suất (Pa) và Khối lượng riêng (kg/m3).
PHY8_038,Một vật chìm xuống đáy chất lỏng khi?,A. dvật​>dlỏng​; B. dvật​<dlỏng​; C. dvật​=dlỏng​; D. FA​>P,A,Chương 3,Bài 17: Lực đẩy Archimedes,Lực đẩy Archimedes,Nhận biết,SGK-Tr75,Vật chìm khi trọng lượng riêng của vật lớn hơn trọng lượng riêng của chất lỏng.,Học thuộc điều kiện chìm/nổi/lơ lửng tại Bài 18 SGK trang 81.
PHY8_039,Hiện tượng nào sau đây không liên quan đến áp suất khí quyển?,A. Hút nước từ cốc; B. Bình xịt sơn hoạt động; C. Nước chảy từ trên cao xuống; D. Cốc bám chặt vào miếng cao su khi hút hết khí,C,Chương 3,Bài 16: Áp suất khí quyển,Áp lực & Áp suất,Thông hiểu,SBT-Tr48,"Nước chảy từ cao xuống thấp là do tác dụng của trọng lực, không phải áp suất khí quyển.","Ôn lại các ví dụ về áp suất khí quyển: ống hút, bình xịt, nắp ấm trà."
PHY8_040,"Khi một con tàu đi từ biển vào sông, lực đẩy Archimedes tác dụng lên tàu sẽ?",A. Tăng lên; B. Giảm đi; C. Không đổi; D. Tùy thuộc vào tốc độ tàu,C,Chương 3,Bài 17: Lực đẩy Archimedes,Lực đẩy Archimedes,Vận dụng cao,Tự biên,Vì tàu vẫn nổi nên FA​=P. Trọng lượng tàu không đổi nên FA​ không đổi (nhưng tàu sẽ chìm sâu hơn).,Hiểu sâu mối quan hệ giữa FA​ và P khi vật nổi. Đừng nhầm lẫn giữa lực đẩy và độ chìm.
PHY8_041,Có thể làm nhiễm điện thanh nhựa bằng cách nào?,A. Nhúng vào nước nóng; B. Cọ xát bằng vải khô; C. Phơi nắng; D. Đặt cạnh nam châm,B,Chương 4,Bài 20: Hiện tượng nhiễm điện,Hiện tượng nhiễm điện,Nhận biết,SGK-Tr85,Cọ xát là cách đơn giản nhất để làm các điện tích di chuyển từ vật này sang vật khác.,"Thực hành thử với thước nhựa và vụn giấy. Nhớ từ khóa ""Cọ xát""."
PHY8_042,Hai vật nhiễm điện cùng loại thì?,A. Hút nhau; B. Đẩy nhau; C. Không tương tác; D. Vừa hút vừa đẩy,B,Chương 4,Bài 20: Hiện tượng nhiễm điện,Hiện tượng nhiễm điện,Nhận biết,SGK-Tr86,"Theo quy luật tương tác: Cùng loại thì đẩy, khác loại thì hút.",Ghi nhớ quy tắc: (+) và (+) đẩy nhau; (+) và (-) hút nhau.
PHY8_043,Vật nhiễm điện âm khi?,A. Nhận thêm electron; B. Mất bớt electron; C. Nhận thêm proton; D. Mất bớt neutron,A,Chương 4,Bài 20: Hiện tượng nhiễm điện,Hiện tượng nhiễm điện,Thông hiểu,SGK-Tr87,Electron mang điện âm. Khi vật nhận thêm electron thì vật sẽ dư điện âm.,"Nhớ rằng chỉ có electron dịch chuyển, proton (điện dương) luôn đứng yên trong hạt nhân."
PHY8_044,"Trong các vật sau, vật nào là vật cách điện?",A. Đoạn dây đồng; B. Thanh thủy tinh; C. Nước muối; D. Ruột bút chì,B,Chương 4,Bài 21: Dòng điện - Nguồn điện,Dòng điện & Nguồn điện,Nhận biết,SBT-Tr58,"Thủy tinh không cho dòng điện chạy qua, gọi là vật cách điện.","Phân biệt vật dẫn điện (kim loại, nước muối) và vật cách điện (nhựa, cao su, thủy tinh)."
PHY8_045,Dòng điện là gì?,A. Là dòng các điện tích dịch chuyển tự do; B. Là dòng các điện tích dịch chuyển có hướng; C. Là sự đứng yên của điện tích; D. Là dòng các nguyên tử dịch chuyển,B,Chương 4,Bài 21: Dòng điện - Nguồn điện,Dòng điện & Nguồn điện,Nhận biết,SGK-Tr88,Dòng điện phải là sự dịch chuyển có hướng của các hạt mang điện.,"Chú ý từ khóa ""có hướng"". Chuyển động hỗn loạn không tạo ra dòng điện."
PHY8_046,Thiết bị nào sau đây có khả năng cung cấp dòng điện lâu dài?,A. Pin; B. Công tắc; C. Dây dẫn; D. Bóng đèn,A,Chương 4,Bài 21: Dòng điện - Nguồn điện,Dòng điện & Nguồn điện,Nhận biết,SGK-Tr89,Pin (hoặc acquy) biến đổi hóa năng thành điện năng để duy trì dòng điện.,"Nhận diện các nguồn điện trong gia đình: pin con thỏ, pin điện thoại, ổ cắm điện."
PHY8_047,"Tại sao vào mùa đông, khi cởi áo len thường nghe thấy tiếng lách tách nhỏ?",A. Do áo len bị rách; B. Do hiện tượng nhiễm điện do cọ xát; C. Do áo len quá nóng; D. Do không khí ẩm,B,Chương 4,Bài 20: Hiện tượng nhiễm điện,Hiện tượng nhiễm điện,Thông hiểu,SBT-Tr56,Do sự cọ xát giữa áo và cơ thể làm xuất hiện các tia lửa điện cực nhỏ (nhiễm điện).,Đây là hiện tượng nhiễm điện do cọ xát phổ biến nhất vào mùa hanh khô.
PHY8_048,Chiều dòng điện quy ước là chiều dịch chuyển của các?,A. Electron từ cực âm sang cực dương; B. Điện tích dương từ cực dương sang cực âm; C. Nguyên tử trong dây dẫn; D. Các hạt neutron,B,Chương 4,Bài 21: Dòng điện - Nguồn điện,Dòng điện & Nguồn điện,Nhận biết,SGK-Tr90,Quy ước quốc tế: Chiều dòng điện từ cực Dương qua dây dẫn tới cực Âm.,Luôn vẽ mũi tên chiều dòng điện rời khỏi cực dương (+) của nguồn điện.
PHY8_049,Ký hiệu nào sau đây biểu diễn nguồn điện (pin) trong sơ đồ mạch điện?,A. Hai vạch song song dài bằng nhau; B. Một vạch dài và một vạch ngắn song song; C. Hình tròn có dấu X; D. Hình chữ nhật,B,Chương 4,Bài 21: Dòng điện - Nguồn điện,Dòng điện & Nguồn điện,Nhận biết,SGK-Tr91,"Vạch dài đại diện cực (+), vạch ngắn đại diện cực (-).",Vẽ lại các ký hiệu mạch điện cơ bản tại Bài 21 SGK trang 91.
PHY8_050,"Trong các vật sau, vật nào là nguồn điện?",A. Cái quạt điện; B. Chiếc pin điện thoại; C. Bóng đèn LED; D. Dây điện,B,Chương 4,Bài 21: Dòng điện - Nguồn điện,Dòng điện & Nguồn điện,Nhận biết,SBT-Tr58,Pin điện thoại dự trữ năng lượng để cung cấp cho thiết bị hoạt động.,"Phân biệt ""nguồn điện"" (pin) và ""vật tiêu thụ điện"" (đèn, quạt)."
PHY8_051,Electron tự do có nhiều trong loại vật chất nào?,A. Chất dẻo; B. Kim loại; C. Thủy tinh; D. Cao su,B,Chương 4,Bài 21: Dòng điện - Nguồn điện,Dòng điện & Nguồn điện,Nhận biết,SGK-Tr89,Kim loại có cấu trúc đặc biệt cho phép nhiều electron di chuyển tự do.,Tại sao dây điện làm bằng đồng? Vì đồng là kim loại có rất nhiều electron tự do.
PHY8_052,"Khi cho thanh nhựa cọ xát vào mảnh vải khô, thanh nhựa nhiễm điện âm thì mảnh vải?",A. Nhiễm điện âm; B. Nhiễm điện dương; C. Không nhiễm điện; D. Mất hết điện tích,B,Chương 4,Bài 20: Hiện tượng nhiễm điện,Hiện tượng nhiễm điện,Thông hiểu,SBT-Tr57,"Do electron từ vải chuyển sang nhựa, vải mất electron nên nhiễm điện dương.",Áp dụng định luật bảo toàn điện tích: Tổng điện tích ban đầu bằng 0.
PHY8_053,Một mạch điện cơ bản gồm có?,"A. Nguồn điện, dây dẫn, công tắc; B. Nguồn điện, vật tiêu thụ điện, dây dẫn, công tắc; C. Chỉ cần nguồn điện; D. Chỉ cần bóng đèn",B,Chương 4,Bài 21: Dòng điện - Nguồn điện,Dòng điện & Nguồn điện,Nhận biết,SGK-Tr90,"Phải có nguồn, dây dẫn, công tắc và thiết bị tiêu thụ (như đèn) mới có ý nghĩa.",Tập lắp ráp mạch điện ảo trên các phần mô phỏng để nhớ các thành phần.
PHY8_054,"Khi thổi bụi trên mặt bàn, bụi bay đi. Nhưng khi dùng khăn khô lau màn hình TV, bụi lại bám chặt vào. Tại sao?",A. Khăn bị ẩm; B. Màn hình TV bị nhiễm điện do cọ xát nên hút bụi; C. Do lực hút trái đất; D. Do bụi sợ khăn,B,Chương 4,Bài 20: Hiện tượng nhiễm điện,Hiện tượng nhiễm điện,Vận dụng,Tự biên,"Khăn cọ xát làm màn hình nhiễm điện, dẫn đến lực hút các hạt bụi nhỏ.",Gợi ý: Dùng khăn ẩm để lau sẽ khử tĩnh điện và giảm bám bụi.
PHY8_055,Năng lượng nhiệt của một vật là?,A. Tổng động năng của các phân tử cấu tạo nên vật; B. Thế năng của vật; C. Tốc độ di chuyển của vật; D. Trọng lượng của vật,A,Chương 6,Bài 26: Năng lượng nhiệt,Nhiệt năng & Nội năng,Nhận biết,SGK-Tr112,Định nghĩa: Nhiệt năng là tổng động năng của các phân tử tạo nên vật.,Đọc kỹ mục I Bài 26 SGK. Động năng tỉ lệ thuận với tốc độ phân tử.
PHY8_056,"Khi tăng nhiệt độ của một miếng đồng, nội năng của nó sẽ?",A. Tăng; B. Giảm; C. Không đổi; D. Ban đầu giảm sau tăng,A,Chương 6,Bài 26: Năng lượng nhiệt,Nhiệt năng & Nội năng,Thông hiểu,SGK-Tr113,Nhiệt độ tăng -> Phân tử chuyển động nhanh -> Động năng tăng -> Nội năng tăng.,Nhớ mối liên hệ: Nhiệt độ tỉ lệ thuận với nội năng của vật.
PHY8_057,Có những cách nào để làm thay đổi nội năng của một vật?,A. Thực hiện công (cọ xát); B. Truyền nhiệt; C. Thực hiện công (cọ xát) và Truyền nhiệt; D. Truyền điện,C,Chương 6,Bài 26: Năng lượng nhiệt,Nhiệt năng & Nội năng,Nhận biết,SGK-Tr113,Hai cách chính là: Thực hiện công (cọ xát) và Truyền nhiệt (đun nóng).,Ghi nhớ hai ví dụ kinh điển: Xoa tay (thực hiện công) và Thả vào nước nóng (truyền nhiệt).
PHY8_058,Nhiệt lượng là gì?,A. Là năng lượng vật có được do chuyển động; B. Là phần nội năng vật nhận thêm hay mất đi trong quá trình truyền nhiệt; C. Là nhiệt độ của vật; D. Là một loại chất lỏng nhiệt,B,Chương 6,Bài 26: Năng lượng nhiệt,Nhiệt năng & Nội năng,Nhận biết,SGK-Tr113,Nhiệt lượng là số đo phần năng lượng được chuyển giao trong quá trình truyền nhiệt.,"Phân biệt ""Nhiệt lượng"" (năng lượng chuyển dời) và ""Nhiệt độ"" (mức độ nóng lạnh)."
PHY8_059,Hình thức dẫn nhiệt chủ yếu xảy ra trong môi trường nào?,A. Chất khí; B. Chân không; C. Chất rắn; D. Chất lỏng,C,Chương 6,Bài 27: Truyền nhiệt,Các hình thức truyền nhiệt,Nhận biết,SGK-Tr116,"Chất rắn có mật độ phân tử cao, dễ dàng truyền dao động nhiệt cho nhau.",So sánh khả năng dẫn nhiệt: Rắn > Lỏng > Khí.
PHY8_060,Đối lưu là hình thức truyền nhiệt chủ yếu của?,A. Chất rắn và chất lỏng; B. Chất lỏng và chất khí; C. Chất khí và chân không; D. Chỉ chất lỏng,B,Chương 6,Bài 27: Truyền nhiệt,Các hình thức truyền nhiệt,Nhận biết,SGK-Tr118,"Chất lỏng và khí có thể tạo thành dòng di chuyển, mang theo nhiệt lượng.","Quan sát dòng nước đang sôi để hiểu về sự di chuyển của các ""dòng đối lưu""."
